2025-03-22 23:38:26: RFID server started
2025-03-22 23:44:01: Card 3338EBF5 detected
2025-03-22 23:44:25: Card 3338EBF5 detected
2025-03-22 23:44:26: Card 3338EBF5 detected
2025-03-22 23:44:36: Card 63719EC5 detected
2025-03-22 23:47:07: Card 3338EBF5 detected
2025-03-22 23:48:46: Card 3338EBF5 detected
2025-03-22 23:57:07: Card 3338EBF5 detected
2025-03-22 23:57:09: Card 3338EBF5 detected
2025-03-22 23:57:11: Card 3338EBF5 detected
2025-03-22 23:58:07: Card 3338EBF5 detected
2025-03-23 00:00:47: Card 3338EBF5 detected
2025-03-23 00:10:54: Card 3338EBF5 detected
2025-03-23 00:22:31: Card B9288559 detected
2025-03-23 00:22:41: Card 3338EBF5 detected
2025-03-23 00:23:28: Card B9288559 detected
2025-03-23 00:23:33: Card 3338EBF5 detected
2025-03-23 00:24:27: Card 3338EBF5 detected
2025-03-23 00:26:00: Card 3338EBF5 detected
2025-03-23 00:35:06: Card 3338EBF5 detected
2025-03-23 00:35:25: Card 3338EBF5 detected
2025-03-23 00:54:08: Card 3338EBF5 detected
2025-03-23 00:55:35: Card 3338EBF5 detected
2025-03-23 00:58:07: Card 3338EBF5 detected
2025-03-23 00:58:20: Card 3338EBF5 detected
2025-03-23 01:00:07: Card 3338EBF5 detected
2025-03-23 01:01:55: Card 3338EBF5 detected
2025-03-23 01:03:02: Card 63719EC5 detected
2025-03-23 01:03:28: Card 264478A5 detected
2025-03-23 01:04:02: Card 264478A5 detected
2025-03-23 01:04:10: Card B9288559 detected
2025-03-23 01:08:56: Card 63719EC5 detected
2025-03-23 01:09:02: Card 264478A5 detected
2025-03-23 01:09:24: Card 264478A5 detected
2025-03-23 01:09:25: Card 264478A5 detected
2025-03-23 01:10:16: Card 264478A5 detected
2025-03-23 01:34:36: Card B9288559 detected
2025-03-23 03:55:47: Card 3338EBF5 detected
2025-03-23 04:27:31: Card 3338EBF5 detected
2025-03-23 04:27:52: Card 3338EBF5 detected
2025-03-23 04:27:53: Card 3338EBF5 detected
2025-03-23 04:28:31: Card 3338EBF5 detected
2025-03-23 04:32:43: Card 3338EBF5 detected
2025-03-23 04:33:18: Card 3338EBF5 detected
2025-03-23 04:33:23: Card 3338EBF5 detected
2025-03-23 04:37:37: Card 3338EBF5 detected
2025-03-23 04:45:22: Card 3338EBF5 detected
2025-03-23 04:51:52: Card 3338EBF5 detected
2025-03-23 04:52:02: Card 3338EBF5 detected
2025-03-23 04:52:03: Card 3338EBF5 detected
2025-03-23 04:52:05: Card 3338EBF5 detected
2025-03-23 04:52:06: Card 3338EBF5 detected
2025-03-23 04:54:42: Card 3338EBF5 detected
2025-03-23 04:54:44: Card 3338EBF5 detected
2025-03-23 04:54:49: Card 3338EBF5 detected
2025-03-23 04:54:59: Card 3338EBF5 detected
2025-03-23 04:55:22: Card 3338EBF5 detected
2025-03-23 04:55:24: Card 3338EBF5 detected
2025-03-23 04:55:27: Card 3338EBF5 detected
2025-03-23 04:55:28: Card 3338EBF5 detected
2025-03-23 04:55:29: Card 3338EBF5 detected
2025-03-23 04:55:31: Card 3338EBF5 detected
2025-03-23 04:55:32: Card 3338EBF5 detected
2025-03-23 04:55:33: Card 3338EBF5 detected
2025-03-23 04:55:35: Card 3338EBF5 detected
2025-03-23 04:55:36: Card 3338EBF5 detected
2025-03-23 04:55:37: Card 3338EBF5 detected
2025-03-23 04:55:38: Card 3338EBF5 detected
2025-03-23 04:55:39: Card 3338EBF5 detected
2025-03-23 04:55:43: Card 3338EBF5 detected
2025-03-23 04:55:55: Card 3338EBF5 detected
2025-03-23 04:55:56: Card 3338EBF5 detected
2025-03-23 04:55:57: Card 3338EBF5 detected
2025-03-23 04:55:58: Card 3338EBF5 detected
2025-03-23 04:56:04: Card 63719EC5 detected
2025-03-23 04:56:10: Card 63719EC5 detected
2025-03-23 04:56:17: Card 63719EC5 detected
2025-03-23 05:10:46: Card 3338EBF5 detected
2025-03-23 05:10:54: Card 3338EBF5 detected
2025-03-23 05:10:55: Card 3338EBF5 detected
2025-03-23 05:10:56: Card 3338EBF5 detected
2025-03-23 05:11:06: Card 3338EBF5 detected
2025-03-23 05:11:15: Card 3338EBF5 detected
2025-03-23 05:11:23: Card 3338EBF5 detected
2025-03-23 05:11:34: Card 3338EBF5 detected
2025-03-23 05:11:44: Card 3338EBF5 detected
2025-03-23 05:11:46: Card 3338EBF5 detected
2025-03-23 05:11:49: Card 3338EBF5 detected
2025-03-23 05:11:54: Card 3338EBF5 detected
2025-03-23 05:12:14: Card 3338EBF5 detected
2025-03-23 05:13:00: Card 3338EBF5 detected
2025-03-23 05:13:37: Card 3338EBF5 detected
2025-03-23 05:14:15: Card 3338EBF5 detected
2025-03-23 05:14:42: Card 3338EBF5 detected
2025-03-23 05:15:50: Card 3338EBF5 detected
2025-03-23 05:15:51: Card 3338EBF5 detected
2025-03-23 05:15:52: Card 3338EBF5 detected
2025-03-23 05:16:52: Card 63719EC5 detected
2025-03-23 05:16:59: Card 3338EBF5 detected
2025-03-23 05:24:00: Card 63719EC5 detected
2025-03-23 05:24:03: Card 63719EC5 detected
2025-03-23 05:24:08: Card 63719EC5 detected
2025-03-23 05:24:09: Card 63719EC5 detected
2025-03-23 05:24:11: Card 63719EC5 detected
2025-03-23 05:24:39: Card 63719EC5 detected
2025-03-23 05:24:52: Card 3338EBF5 detected
